date,code,name,city,county,fips,zipcode,x,y,confirmed_cases,new_confirmed_cases,active_cases,released_cases,resolved_cases,deaths,new_deaths
8/5/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1484,1,,41,,5,0
8/6/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1484,0,,41,,5,0
8/7/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1506,22,,41,,5,0
8/8/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1507,1,,41,,5,0
8/9/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1507,0,,42,,5,0
8/10/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1588,81,,42,,5,0
8/11/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1591,3,,42,,5,0
8/12/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1601,10,,42,,5,0
8/13/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1601,0,,43,,5,0
8/14/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1602,1,,43,,5,0
8/15/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1602,0,,43,,5,0
8/16/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1602,0,,43,,5,0
8/17/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1604,2,,43,,5,0
8/18/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1604,0,,45,,5,0
8/19/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1605,1,,45,,5,0
8/20/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1752,147,,46,,5,0
8/21/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1757,5,,46,,5,0
8/22/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1758,1,,46,,5,0
8/23/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1758,0,,46,,5,0
8/24/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1767,9,,46,,5,0
